"id","idade","altura","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"1",1,27,1.38,50.17,26.34,"M","2º Grau","Exatas","não",0,2517.17,1,1
"2",2,37,1.53,56.11,23.97,"F","Doutorado","Biológicas","não",0,3110.97,3,2
"3",3,43,1.61,59.34,22.89,"F","2º Grau","Humanas","não",0,3433.78,0,0
"4",4,19,1.27,45.62,28.28,"M","Mestrado","Humanas","não",0,2061.72,1,0
"5",5,38,1.54,56.72,23.92,"F","Analfabeto","Exatas","sim",1,3171.65,2,1
"6",6,39,1.55,57.02,23.73,"M","Mestrado","Biológicas","não",0,3202.42,1,2
"7",7,31,1.44,52.7,25.41,"F","3º Grau","Exatas","não",0,2770.1,2,1
"8",8,31,1.45,52.81,25.12,"M","Doutorado","Exatas","não",0,2781.35,2,1
"9",9,31,1.44,52.74,25.43,"F","Mestrado","Exatas","sim",1,2774.22,0,1
"10",10,29,1.41,51.44,25.87,"F","3º Grau","Exatas","não",0,2643.98,3,1
"11",11,32,1.45,53.09,25.25,"F","Analfabeto","Biológicas","sim",1,2809.12,1,2
"12",12,28,1.4,51.01,26.03,"M","Mestrado","Exatas","não",0,2600.65,3,1
"13",13,30,1.42,51.89,25.73,"F","PósDoc","Humanas","não",0,2689.5,2,0
"14",14,35,1.51,55.26,24.24,"M","Mestrado","Exatas","sim",1,3025.78,1,1
"15",15,42,1.6,58.84,22.98,"F","PósDoc","Humanas","não",0,3383.8,2,0
"16",16,34,1.49,54.56,24.58,"M","Doutorado","Exatas","sim",1,2955.89,1,1
"17",17,31,1.45,52.96,25.19,"M","Mestrado","Biológicas","não",0,2795.6,0,2
"18",18,29,1.41,51.36,25.83,"F","3º Grau","Exatas","não",0,2635.52,3,1
"19",19,29,1.42,51.65,25.61,"F","Doutorado","Humanas","não",0,2665.13,1,0
"20",20,52,1.74,64.66,21.36,"M","PósDoc","Humanas","não",0,3966.33,1,0
"21",21,36,1.51,55.54,24.36,"M","2º Grau","Humanas","não",0,3053.64,2,0
"22",22,32,1.45,53.04,25.23,"M","3º Grau","Humanas","não",0,2803.73,2,0
"23",23,32,1.46,53.24,24.98,"F","Analfabeto","Exatas","não",0,2823.78,2,1
"24",24,38,1.55,56.84,23.66,"M","3º Grau","Humanas","não",0,3183.84,1,0
"25",25,30,1.43,52.23,25.54,"M","1º Grau","Humanas","não",0,2722.51,2,0
"26",26,25,1.36,49.21,26.61,"F","PósDoc","Humanas","sim",1,2420.72,3,0
"27",27,39,1.56,57.3,23.55,"F","Doutorado","Humanas","não",0,3229.9,1,0
"28",28,28,1.4,50.91,25.97,"M","2º Grau","Exatas","sim",1,2590.54,2,1
"29",29,35,1.5,54.94,24.42,"F","1º Grau","Biológicas","sim",1,2993.94,2,2
"30",30,28,1.41,51.26,25.78,"M","Doutorado","Exatas","não",0,2625.62,2,1
"31",31,43,1.61,59.41,22.92,"M","1º Grau","Exatas","não",0,3440.92,2,1
"32",32,32,1.45,53.1,25.26,"F","3º Grau","Biológicas","não",0,2809.76,2,2
"33",33,30,1.43,52.16,25.51,"M","Doutorado","Biológicas","não",0,2716.22,3,2
"34",34,31,1.45,52.99,25.2,"M","2º Grau","Humanas","não",0,2799.5,2,0
"35",35,24,1.34,48.48,27,"F","Doutorado","Exatas","não",0,2348.36,0,1
"36",36,27,1.38,50.33,26.43,"F","1º Grau","Humanas","sim",1,2532.95,1,0
"37",37,20,1.28,46.28,28.25,"M","Doutorado","Exatas","não",0,2127.98,3,1
"38",38,26,1.37,49.64,26.45,"M","Mestrado","Biológicas","não",0,2463.6,2,2
"39",39,33,1.47,53.82,24.91,"M","Mestrado","Exatas","sim",1,2882.28,2,1
"40",40,32,1.45,53.14,25.27,"M","Doutorado","Biológicas","sim",1,2813.64,1,2
"41",41,45,1.64,60.8,22.61,"M","1º Grau","Biológicas","não",0,3579.8,3,2
"42",42,28,1.39,50.73,26.26,"M","Doutorado","Biológicas","não",0,2572.54,3,2
