"Codigo";"Civil";"Sexo";"Altura";"Salario";"Idade";"Din_caixa";"Agua_dia"
"1";1;"Separado";"M";1,72997638979451;985,671742148011;68;781440,288541384;1,49266963174038
"2";2;"Solteiro";"F";1,7428705344614;1577,40531231573;33;876006,188635883;1,48979978136771
"3";3;"Desquitado";"M";1,69713197691026;1632,47134754561;59;32074,699134436;1,31890022528473
"4";4;"Casado";"F";1,48854795389667;1627,25936938692;45;171237,406946079;1,68125788165952
"5";5;"Casado";"F";1,57070851583397;2742,49053173023;29;141828,586725487;1,44138480956438
"6";6;"Casado";"F";1,59002207040107;2389,60296247955;20;624130,186310628;1,46855381557246
"7";7;"Casado";"F";1,58515306807934;2879,46047088124;37;102353,229525499;1,66492624198406
"8";8;"Solteiro";"F";1,55761190169391;358,43395975304;68;217559,418418778;1,71563016210308
"9";9;"Desquitado";"F";1,67710973438389;3030,71671838078;39;556147,427963133;1,39980163017077
"10";10;"Solteiro";"M";1,81824620444198;1767,47151445715;41;937414,056715494;1,60657759887383
"11";11;"Solteiro";"M";1,67086359068843;1906,46831062435;34;551935,794829151;1,26209585096084
"12";12;"Separado";"M";1,63822960733417;1896,08584409727;27;416309,058181453;1,60022518291077
"13";13;"Separado";"M";1,53546703750273;1789,03492831454;67;791306,542537717;1,4148447089749
"14";14;"Casado";"M";1,59462951244596;1249,64876041798;69;780616,403332338;1,44519430550233
"15";15;"Separado";"F";1,73225050838551;2338,7234545931;22;29813,6176701954;1,65947544611046
"16";16;"Solteiro";"M";1,6429143874829;1720,00104980684;34;100319,409407448;1,57778274886124
"17";17;"Solteiro";"F";1,60889753672479;1622,73684738835;59;194939,978824547;1,60216879289788
"18";18;"Casado";"M";1,62594388240709;1407,44065021783;19;68425,3455650965;1,6000714911068
"19";19;"Separado";"F";1,82012018161763;1151,33943230187;27;723463,42611508;1,62205333222559
"20";20;"Desquitado";"M";1,64988428079512;1648,27311427188;68;694568,304013276;1,41658921456781
"21";21;"Solteiro";"F";1,6126510179358;2980,20293672934;42;967317,77635653;1,59633538839778
"22";22;"Separado";"M";1,78658868773351;1702,61524332635;66;201925,828821196;1,84330534748172
"23";23;"Separado";"F";1,76559919747327;2102,86372596954;50;613174,345309945;1,45673399774459
"24";24;"Separado";"M";1,74140434186819;2449,24313322564;23;745292,05922732;1,45925433582416
"25";25;"Casado";"M";1,69454527318302;2060,44916382488;60;141939,329315722;1,22012452716598
"26";26;"Desquitado";"M";1,77869624871479;3153,98864807455;28;963583,445922652;1,6969327151475
"27";27;"Desquitado";"F";1,67605374443178;1063,22438096434;52;297452,531093958;1,32223848313751
"28";28;"Solteiro";"F";1,54024058117009;1353,75773286606;41;210697,507638742;1,44853411517134
